rank,link,title,rating,year,country,director,genre,poster_url,poster_path
45,https://movie.douban.com/subject/1929463/,少年派的奇幻漂流,9.1,2012,美国 中国台湾 英国 加拿大,李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma,剧情 奇幻 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,posters\045_少年派的奇幻漂流.jpg
46,https://movie.douban.com/subject/1296736/,钢琴家,9.3,2002,英国 法国 波兰 德国 美国,"罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002",剧情 传记 战争 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,posters\046_钢琴家.jpg
47,https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,9.2,2002,美国 新西兰,彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,剧情 动作 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,posters\047_指环王2：双塔奇兵.jpg
48,https://movie.douban.com/subject/1291548/,死亡诗社,9.2,1989,美国,彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,posters\048_死亡诗社.jpg
49,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,9.0,1995,中国香港 中国大陆,刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow,喜剧 爱情 奇幻 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,posters\049_大话西游之月光宝盒.jpg
50,https://movie.douban.com/subject/30170448/,何以为家,9.1,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,posters\050_何以为家.jpg
51,https://movie.douban.com/subject/27060077/,绿皮书,8.9,2018,美国 中国大陆,彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen,剧情 喜剧 传记 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,posters\051_绿皮书.jpg
52,https://movie.douban.com/subject/1298624/,闻香识女人,9.1,1992,美国,马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,posters\052_闻香识女人.jpg
53,https://movie.douban.com/subject/1418019/,大闹天宫,9.4,1961,(中国大陆),万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu,"(中国大陆),(中国大陆),中国大陆,剧情 动画 奇幻 古装",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,posters\053_大闹天宫.jpg
54,https://movie.douban.com/subject/1291843/,黑客帝国,9.1,1999,美国,安迪·沃卓斯基 Andy Wachowski,动作 科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,posters\054_黑客帝国.jpg
55,https://movie.douban.com/subject/1291571/,指环王1：护戒使者,9.1,2001,新西兰 美国,彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,剧情 动作 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,posters\055_指环王1：护戒使者.jpg
56,https://movie.douban.com/subject/1293839/,罗马假日,9.1,1953,美国,威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn,喜剧 剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,posters\056_罗马假日.jpg
57,https://movie.douban.com/subject/1299131/,教父2,9.3,1974,美国,"弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974",剧情 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,posters\057_教父2.jpg
58,https://movie.douban.com/subject/1301753/,狮子王,9.1,1994,美国,Roger Allers,动画 冒险 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,posters\058_狮子王.jpg
59,https://movie.douban.com/subject/1291828/,天堂电影院,9.2,1988,意大利 法国,"朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988",剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,posters\059_天堂电影院.jpg
60,https://movie.douban.com/subject/1291818/,饮食男女,9.2,1994,中国台湾 美国,李安 Ang Lee   主演: 郎雄 Sihung Lung,剧情 家庭,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,posters\060_饮食男女.jpg
61,https://movie.douban.com/subject/21937445/,辩护人,9.2,2013,韩国,杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,posters\061_辩护人.jpg
62,https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事,9.0,2008,美国,大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt,剧情 爱情 奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,posters\062_本杰明·巴顿奇事.jpg
63,https://movie.douban.com/subject/1292000/,搏击俱乐部,9.0,1999,美国,大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton,剧情 动作 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,posters\063_搏击俱乐部.jpg
64,https://movie.douban.com/subject/1306029/,美丽心灵,9.1,2001,美国,朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe,传记 剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,posters\064_美丽心灵.jpg
65,https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,9.2,2008,英国 美国,"马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008",剧情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,posters\065_穿条纹睡衣的男孩.jpg
66,https://movie.douban.com/subject/1292220/,情书,8.9,1995,日本,岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,posters\066_情书.jpg
67,https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下),9.0,2011,美国 英国,"大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
                            2011",奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.jpg,posters\067_哈利·波特与死亡圣器(下).jpg
68,https://movie.douban.com/subject/1293350/,两杆大烟枪,9.1,1998,英国,盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng,剧情 喜剧 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,posters\068_两杆大烟枪.jpg
69,https://movie.douban.com/subject/1900841/,窃听风暴,9.2,2006,德国,"弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006",剧情 悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,posters\069_窃听风暴.jpg
70,https://movie.douban.com/subject/1294408/,音乐之声,9.1,1965,美国,罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews,剧情 传记 爱情 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,posters\070_音乐之声.jpg
71,https://movie.douban.com/subject/1291543/,功夫,8.9,2004,中国大陆 中国香港,周星驰 Stephen Chow   主演: 周星驰 Stephen Chow,动作 喜剧 犯罪 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,posters\071_功夫.jpg
72,https://movie.douban.com/subject/1292402/,西西里的美丽传说,8.9,2000,意大利 美国,"朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000",剧情 战争 情色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,posters\072_西西里的美丽传说.jpg
73,https://movie.douban.com/subject/1291544/,哈利·波特与阿兹卡班的囚徒,9.0,2004,英国 美国,"阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...
                            2004",奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg,posters\073_哈利·波特与阿兹卡班的囚徒.jpg
74,https://movie.douban.com/subject/1652587/,阿凡达,8.8,2009,美国,"詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009",动作 科幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,posters\074_阿凡达.jpg
75,https://movie.douban.com/subject/26580232/,看不见的客人,8.8,2016,西班牙,奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas,剧情 犯罪 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,posters\075_看不见的客人.jpg
76,https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,9.1,1998,美国,"史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998",剧情 战争,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,posters\076_拯救大兵瑞恩.jpg
77,https://movie.douban.com/subject/1293544/,沉默的羔羊,8.9,1991,美国,乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,posters\077_沉默的羔羊.jpg
78,https://movie.douban.com/subject/1303021/,小鞋子,9.2,1997,伊朗,"马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
                            1997",剧情 儿童 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,posters\078_小鞋子.jpg
79,https://movie.douban.com/subject/11525673/,布达佩斯大饭店,8.9,2014,美国 德国 英国,韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes,剧情 喜剧 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg,posters\079_布达佩斯大饭店.jpg
80,https://movie.douban.com/subject/1292224/,飞越疯人院,9.1,1975,美国,"米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975",剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,posters\080_飞越疯人院.jpg
81,https://movie.douban.com/subject/1292343/,蝴蝶效应,8.9,2004,美国 加拿大,埃里克·布雷斯 Eric Bress,剧情 悬疑 科幻 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,posters\081_蝴蝶效应.jpg
82,https://movie.douban.com/subject/2334904/,禁闭岛,8.9,2010,美国,Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio,剧情 悬疑 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,posters\082_禁闭岛.jpg
83,https://movie.douban.com/subject/1292656/,心灵捕手,9.0,1997,美国,格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,posters\083_心灵捕手.jpg
84,https://movie.douban.com/subject/1780330/,致命魔术,8.9,2006,英国 美国,"克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006",剧情 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,posters\084_致命魔术.jpg
85,https://movie.douban.com/subject/36445098/,还有明天,9.3,2023,意大利,"宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...
                            2023",剧情 喜剧 历史,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg,posters\085_还有明天.jpg
86,https://movie.douban.com/subject/1291832/,低俗小说,8.9,1994,美国,"昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994",剧情 喜剧 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,posters\086_低俗小说.jpg
87,https://movie.douban.com/subject/5322596/,超脱,9.0,2011,美国,托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody,剧情,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,posters\087_超脱.jpg
88,https://movie.douban.com/subject/1296996/,哈利·波特与密室,8.9,2002,英国 美国,Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe,奇幻 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg,posters\088_哈利·波特与密室.jpg
89,https://movie.douban.com/subject/1292434/,一一,9.1,2000,中国台湾 日本,杨德昌 Edward Yang   主演: 吴念真,剧情 爱情 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924629258.jpg,posters\089_一一.jpg
90,https://movie.douban.com/subject/1302425/,喜剧之王,8.8,1999,中国香港,周星驰 Stephen Chow,喜剧 剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2618313392.jpg,posters\090_喜剧之王.jpg
91,https://movie.douban.com/subject/1294371/,摩登时代,9.3,1936,美国,"查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936",剧情 喜剧 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,posters\091_摩登时代.jpg
92,https://movie.douban.com/subject/1300299/,杀人回忆,8.9,2003,韩国,奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song,剧情 动作 犯罪 悬疑 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,posters\092_杀人回忆.jpg
93,https://movie.douban.com/subject/1297192/,致命ID,8.9,2003,美国,詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack,剧情 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,posters\093_致命ID.jpg
94,https://movie.douban.com/subject/1292679/,春光乍泄,9.0,1997,中国香港 日本 韩国,王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung,剧情 爱情 同性,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,posters\094_春光乍泄.jpg
95,https://movie.douban.com/subject/1298070/,加勒比海盗,8.8,2003,美国,戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp,动作 冒险 奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,posters\095_加勒比海盗.jpg
96,https://movie.douban.com/subject/3442220/,海豚湾,9.3,2009,美国,"路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...
                            2009",纪录片,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,posters\096_海豚湾.jpg
97,https://movie.douban.com/subject/1292262/,美国往事,9.1,1984,美国 意大利,"赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984",犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,posters\097_美国往事.jpg
98,https://movie.douban.com/subject/1865703/,红辣椒,9.0,2006,日本,今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara,动画 悬疑 科幻 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg,posters\098_红辣椒.jpg
99,https://movie.douban.com/subject/1292223/,七宗罪,8.8,1995,美国,大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman,剧情 犯罪 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,posters\099_七宗罪.jpg
100,https://movie.douban.com/subject/1306249/,唐伯虎点秋香,8.8,1993,中国香港,李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow,喜剧 爱情 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,posters\100_唐伯虎点秋香.jpg
101,https://movie.douban.com/subject/6985810/,狩猎,9.1,2012,丹麦 瑞典,"托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012",剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,posters\101_狩猎.jpg
102,https://movie.douban.com/subject/1297359/,幽灵公主,8.9,1997,日本,宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda,动画 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg,posters\102_幽灵公主.jpg
103,https://movie.douban.com/subject/1305164/,甜蜜蜜,8.9,1996,中国香港,陈可辛 Peter Chan   主演: 黎明 Leon Lai,剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,posters\103_甜蜜蜜.jpg
104,https://movie.douban.com/subject/27010768/,寄生虫,8.8,2019,韩国,奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,posters\104_寄生虫.jpg
105,https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,8.9,2012,美国 英国,"克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2012",剧情 动作 科幻 犯罪 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,posters\105_蝙蝠侠：黑暗骑士崛起.jpg
106,https://movie.douban.com/subject/1428581/,天书奇谭,9.2,1983,(中国大陆),王树忱 Shuchen Wang,"中国大陆,动画 奇幻",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg,posters\106_天书奇谭.jpg
107,https://movie.douban.com/subject/10777687/,7号房的礼物,8.9,2013,韩国,李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo,剧情 喜剧 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,posters\107_7号房的礼物.jpg
108,https://movie.douban.com/subject/11026735/,超能陆战队,8.8,2014,美国,唐·霍尔 Don Hall,喜剧 动作 科幻 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,posters\108_超能陆战队.jpg
109,https://movie.douban.com/subject/1297630/,第六感,8.9,1999,美国,"M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
                            1999",剧情 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,posters\109_第六感.jpg
110,https://movie.douban.com/subject/1296339/,爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,"理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            1995",剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,posters\110_爱在黎明破晓前.jpg
111,https://movie.douban.com/subject/1291990/,爱在日落黄昏时,8.9,2004,美国 法国,"理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2004",剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg,posters\111_爱在日落黄昏时.jpg
112,https://movie.douban.com/subject/1461403/,茶馆,9.6,1982,(中国大陆),谢添 Tian Xie   主演: 于是之 Shizhi Yu,"中国大陆,剧情 历史",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,posters\112_茶馆.jpg
113,https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,8.8,2006,日本,中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani,剧情 歌舞,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,posters\113_被嫌弃的松子的一生.jpg
114,https://movie.douban.com/subject/1291999/,重庆森林,8.8,1994,中国香港,王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin,剧情 爱情,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,posters\114_重庆森林.jpg
115,https://movie.douban.com/subject/1309055/,哈利·波特与火焰杯,8.8,2005,英国 美国,"迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...
                            2005",悬疑 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg,posters\115_哈利·波特与火焰杯.jpg
116,https://movie.douban.com/subject/1395091/,未麻的部屋,9.1,1997,日本,今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao,剧情 犯罪 动画 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,posters\116_未麻的部屋.jpg
117,https://movie.douban.com/subject/10533913/,头脑特工队,8.8,2015,美国,彼特·道格特 Pete Docter,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg,posters\117_头脑特工队.jpg
118,https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,8.9,2010,日本,米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida,动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,posters\118_借东西的小人阿莉埃蒂.jpg
119,https://movie.douban.com/subject/2149806/,入殓师,8.9,2008,日本,泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,posters\119_入殓师.jpg
120,https://movie.douban.com/subject/1293359/,菊次郎的夏天,8.9,1999,日本,北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,posters\120_菊次郎的夏天.jpg
121,https://movie.douban.com/subject/1292370/,剪刀手爱德华,8.7,1990,美国,蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp,剧情 爱情 奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,posters\121_剪刀手爱德华.jpg
122,https://movie.douban.com/subject/1418834/,断背山,8.8,2005,美国 加拿大,李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger,剧情 爱情 同性 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.jpg,posters\122_断背山.jpg
123,https://movie.douban.com/subject/1294639/,勇敢的心,8.9,1995,美国,梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson,动作 传记 剧情 历史 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,posters\123_勇敢的心.jpg
124,https://movie.douban.com/subject/10577869/,时空恋旅人,8.8,2013,英国 美国,"理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...
                            2013",喜剧 爱情 奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,posters\124_时空恋旅人.jpg
125,https://movie.douban.com/subject/21318488/,消失的爱人,8.7,2014,美国,大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck,剧情 犯罪 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,posters\125_消失的爱人.jpg
126,https://movie.douban.com/subject/1297447/,倩女幽魂,8.8,1987,中国香港,程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung,爱情 奇幻 武侠 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.jpg,posters\126_倩女幽魂.jpg
127,https://movie.douban.com/subject/1292337/,无人知晓,9.1,2004,日本,是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,posters\127_无人知晓.jpg
128,https://movie.douban.com/subject/2353023/,驯龙高手,8.8,2010,美国,迪恩·德布洛斯 Dean DeBlois,动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,posters\128_驯龙高手.jpg
129,https://movie.douban.com/subject/1291557/,花样年华,8.8,2000,中国香港,王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.jpg,posters\129_花样年华.jpg
130,https://movie.douban.com/subject/1418200/,傲慢与偏见,8.7,2005,法国 英国 美国,乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,posters\130_傲慢与偏见.jpg
131,https://movie.douban.com/subject/10437779/,新世界,8.9,2013,韩国,朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee,剧情 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,posters\131_新世界.jpg
132,https://movie.douban.com/subject/1300992/,完美的世界,9.1,1993,美国,"克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...
                            1993",剧情 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,posters\132_完美的世界.jpg
133,https://movie.douban.com/subject/1858711/,玩具总动员3,8.9,2010,美国,李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks,喜剧 动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,posters\133_玩具总动员3.jpg
134,https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死,8.9,2015,瑞典,"汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...
                            2015",剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,posters\134_一个叫欧维的男人决定去死.jpg
135,https://movie.douban.com/subject/1291875/,阳光灿烂的日子,8.8,1994,中国大陆 中国香港,姜文 Wen Jiang   主演: 夏雨 Yu Xia,剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,posters\135_阳光灿烂的日子.jpg
136,https://movie.douban.com/subject/25814705/,小森林 夏秋篇,9.0,2014,日本,森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232317770.jpg,posters\136_小森林 夏秋篇.jpg
137,https://movie.douban.com/subject/1292215/,天使爱美丽,8.7,2001,法国 德国,"让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
                            2001",剧情 喜剧 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,posters\137_天使爱美丽.jpg
138,https://movie.douban.com/subject/1291579/,怪兽电力公司,8.8,2001,美国,彼特·道格特 Pete Docter,儿童 喜剧 动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,posters\138_怪兽电力公司.jpg
139,https://movie.douban.com/subject/1828115/,色，戒,8.7,2007,中国台湾 中国大陆 美国 中国香港,李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai,剧情 爱情 情色,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,posters\139_色，戒.jpg
